category_id,type,question_text,question_text_sv
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is the most chaotic thing you have done on impulse?","Vad är det mest kaotiska du har gjort på impuls?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"If you had to delete one social media app forever, which one would it be?","Om du var tvungen att radera en social medie-app för alltid, vilken skulle det vara?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Who here would most likely start drama accidentally?","Vem här skulle troligast starta drama av misstag?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is the worst decision you made because you were bored?","Vad är det sämsta beslut du har tagit för att du var uttråkad?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Have you ever sent a message you instantly regretted?","Har du någonsin skickat ett meddelande du direkt ångrade?"
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Let the group choose your profile picture for 10 minutes.","Låt gruppen välja din profilbild i 10 minuter."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Pretend you are a reality show villain for one round.","Låtsas att du är en realityshow-skurk i en runda."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Speak only in questions for the next round.","Tala bara i frågor under nästa runda."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Do a dramatic slow-motion walk across the room.","Gå en dramatisk slow-motion-vandring genom rummet."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Let someone in the group rename you for the rest of the game.","Låt någon i gruppen byta namn på dig resten av spelet."
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Who here would survive the longest without their phone?","Vem här skulle överleva längst utan sin telefon?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is the most impulsive thing you have bought?","Vad är det mest impulsiva du har köpt?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is the weirdest DM you have ever received?","Vad är det konstigaste DM du någonsin har fått?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Who here would be most likely to go viral for something random?","Vem här skulle troligast bli viral för något slumpmässigt?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Have you ever pretended to know something you had no clue about?","Har du någonsin låtsats veta något du inte hade en aning om?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is your most chaotic friend group memory?","Vad är ditt mest kaotiska vänkretsminne?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Have you ever accidentally sent a message to the wrong person?","Har du någonsin av misstag skickat ett meddelande till fel person?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"What is the fastest you have ever regretted something?","Vad är det snabbaste du någonsin har ångrat något?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"If you disappeared for 24 hours what would you be doing?","Om du försvann i 24 timmar, vad skulle du göra?"
712719f6-df43-4ce9-ab98-c505f3653399,truth,"Who here would cause the most chaos on a road trip?","Vem här skulle orsaka mest kaos på en roadtrip?"
712719f6-df43-4ce9-ab98-c505f3635399,truth,"Who in this room would you trust the least with a secret?","Vem i det här rummet skulle du lita minst på med en hemlighet?"
712719f6-df43-4ce9-ab98-c505f3635399,truth,"Have you ever stalked someone online?","Har du någonsin stalkat någon online?"
712719f6-df43-4ce9-ab98-c505f3635399,truth,"What secret are you glad your parents don't know?","Vilken hemlighet är du glad att dina föräldrar inte vet?"
712719f6-df43-4ce9-ab98-c505f3635399,truth,"Who here would survive a zombie apocalypse?","Vem här skulle överleva en zombieapokalyps?"
